str,en_US,en_HK,en_SG,en_TH,zh_HK,zh_SG,th_TH,id_HK,id_SG
privacy_dragon_rewards_6,Aggregated and anonymised data,,,,匯總和匿名數據,汇总和匿名数据,ข้อมูลรวมและไม่ระบุตัวตน,Data gabungan dan anonim,
privacy_dragon_rewards_6_des,"Aggregated or anonymised data that does not include any personally identifiable information, may be used by us, our Partners, DTS/DTG or other third parties for various purposes, including enabling them to better understand customer needs or to improve and adapt their operations, products and services, or for the purposes of industry benchmarking, machine learning, research or analytics.",,,,我們、我們的合作夥伴、DTS/DTG 或其他第三方可以將不包含任何個人身份信息的匯總或匿名數據用於各種目的，包括使他們能夠更好地了解客戶需求或改進和調整其運營、產品和服務，或用於行業基準測試、機器學習、研究或分析的目的。,我们、我们的合作伙伴、DTS/DTG 或其他第三方可以将不包含任何个人身份信息的汇总或匿名数据用于各种目的，包括使他们能够更好地了解客户需求或改进和调整其运营、产品和服务，或用于行业基准测试、机器学习、研究或分析的目的。,ข้อมูลที่รวบรวมหรือไม่ระบุชื่อซึ่งไม่รวมถึงข้อมูลส่วนบุคคลใด ๆ อาจถูกใช้โดยเรา พันธมิตรของเรา DTS/DTG หรือบุคคลที่สามอื่น ๆ เพื่อวัตถุประสงค์ต่าง ๆ รวมถึงการทำให้พวกเขาเข้าใจความต้องการของลูกค้าได้ดีขึ้นหรือเพื่อปรับปรุงและปรับการดำเนินงาน ผลิตภัณฑ์ และบริการต่างๆ หรือเพื่อวัตถุประสงค์ในการเปรียบเทียบอุตสาหกรรม การเรียนรู้ของเครื่อง การวิจัยหรือการวิเคราะห์,"Data gabungan atau anonim yang tidak mencakup informasi pengenal pribadi apa pun, dapat digunakan oleh kami, Mitra kami, DTS/DTG, atau pihak ketiga lainnya untuk berbagai tujuan, termasuk memungkinkan mereka untuk lebih memahami kebutuhan pelanggan atau untuk meningkatkan dan menyesuaikan operasi, produk mereka dan layanan, atau untuk tujuan tolok ukur industri, pembelajaran mesin, penelitian, atau analitik.",
privacy_dragon_rewards_7,Direct Marketing,,,,直銷,直销,การตลาดทางตรง,Pemasaran langsung,
privacy_dragon_rewards_7_des,"If you have opted to receive offers and promotions from us, we may use your personal data to:<br><ul><li>send you direct marketing communications in connection with the latest news, events, updates, offers, contests and promotions in relation to Dragon Rewards;</li><li>send you direct marketing communications in connection with the latest news, events, updates, contests, promotions, offers, products, services and Rewards offered by our Partners which relate to retail, clothing, accessories, cosmetics, beauty, healthcare and wellness, personal care, toiletries and medical, baby care, maternity care, insurance, financial, music, sports, lucky draws and contests, food, beverages, dining, travel, transportation\n,banking, electronics, home, household, textiles, telecommunications, groceries, office and business supplies, technology, outdoor furniture and accessories, furniture, lighting, décor, home accessories, media, e-commerce platforms and facilitators, and publications;</li><li>analyse your preferences, online behaviour and transactional history in order to gain insights, so that we can customise the content and types of news, events, updates, contests, promotions, offers, products, services and Rewards that we present to you via our Site, our App, our direct marketing communications, social media or other communication means; and</li><li>in conjunction with any seasonal events, lucky draws and contests or other promotional activities.</li></ul><br>We may send you direct marketing communications and market research invitations by email, through your online Membership user account or in-app notifications on your mobile device, when you access the Site or App, or through online banner advertisements, post, telephone or SMS.<br><br>Before providing you with direct marketing communications, we will always ask for your consent. You can choose at any time not to receive any direct marketing communications from us. Please see the section on Your rights below.",,,,如果您選擇接收我們的優惠和促銷信息，我們可能會使用您的個人數據來：<br><ul><li>向您發送與最新新聞、活動、更新、優惠、競賽和促銷相關的直接營銷通訊與龍獎賞有關的信息；</li><li>向您發送與我們的合作夥伴提供的零售、服裝相關的最新新聞、活動、更新、競賽、促銷、優惠、產品、服務和獎勵相關的直接營銷通訊、配飾、化妝品、美容、醫療保健和健康、個人護理、盥洗用品和醫療、嬰兒護理、孕婦護理、保險、金融、音樂、體育、抽獎和競賽、食品、飲料、餐飲、旅行、交通\n、銀行、電子、家居、家居、紡織品、電信、雜貨、辦公和商業用品、技術、戶外家具及配件、家具、照明、裝飾、家居飾品、媒體、電子商務平台和服務商以及出版物； </li> <li>分析您的偏好、在線行為和交易歷史記錄以獲取見解，以便我們可以定制我們向您提供的新聞、活動、更新、競賽、促銷、優惠、產品、服務和獎勵的內容和類型通過我們的網站、我們的應用程序、我們的直接營銷通訊、社交媒體或其他通訊方式； </li><li>與任何季節性活動、抽獎和競賽或其他促銷活動結合使用。</li></ul><br>我們可能會通過電子郵件向您發送直接營銷通訊和市場研究邀請，通過當您訪問網站或應用程序時，或者通過在線橫幅廣告、帖子、電話或短信時，您的在線會員用戶帳戶或移動設備上的應用程序內通知。<br><br>在向您提供直接營銷通信之前，我們將始終徵求您的同意。 您可以隨時選擇不接收我們的任何直接營銷通訊。 請參閱下面有關您的權利的部分。,如果您选择接收我们的优惠和促销信息，我们可能会使用您的个人数据来：<br><ul><li>向您发送与最新新闻、活动、更新、优惠、竞赛和促销相关的直接营销通讯与龙奖赏有关的信息；</li><li>向您发送与我们的合作伙伴提供的零售、服装相关的最新新闻、活动、更新、竞赛、促销、优惠、产品、服务和奖励相关的直接营销通讯、配饰、化妆品、美容、医疗保健和健康、个人护理、盥洗用品和医疗、婴儿护理、孕妇护理、保险、金融、音乐、体育、抽奖和竞赛、食品、饮料、餐饮、旅行、交通\n、银行、电子、家居、家居、纺织品、电信、杂货、办公和商业用品、技术、户外家具及配件、家具、照明、装饰、家居饰品、媒体、电子商务平台和服务商以及出版物； </li> <li>分析您的偏好、在线行为和交易历史记录以获取见解，以便我们可以定制我们向您提供的新闻、活动、更新、竞赛、促销、优惠、产品、服务和奖励的内容和类型通过我们的网站、我们的应用程序、我们的直接营销通讯、社交媒体或其他通讯方式； </li><li>与任何季节性活动、抽奖和竞赛或其他促销活动结合使用。 </li></ul><br>我们可能会通过电子邮件向您发送直接营销通讯和市场研究邀请，通过当您访问网站或应用程序时，或者通过在线横幅广告、帖子、电话或短信时，您的在线会员用户帐户或移动设备上的应用程序内通知。 <br><br>在向您提供直接营销通信之前，我们将始终征求您的同意。您可以随时选择不接收我们的任何直接营销通讯。请参阅下面有关您的权利的部分。,"หากคุณเลือกที่จะรับข้อเสนอและการส่งเสริมการขายจากเรา เราอาจใช้ข้อมูลส่วนบุคคลของคุณเพื่อ:<br><ul><li>ส่งการสื่อสารการตลาดโดยตรงถึงคุณโดยเชื่อมโยงกับข่าวสาร กิจกรรม การอัปเดต ข้อเสนอ การแข่งขัน และการส่งเสริมการขายล่าสุด เกี่ยวกับ Dragon Rewards</li><li>ส่งการสื่อสารการตลาดทางตรงถึงคุณเกี่ยวกับข่าวสาร กิจกรรม การอัปเดต การประกวด โปรโมชั่น ข้อเสนอ ผลิตภัณฑ์ บริการ และรางวัลล่าสุดที่พันธมิตรของเราเสนอซึ่งเกี่ยวข้องกับการค้าปลีก เสื้อผ้า , เครื่องประดับ, เครื่องสำอาง, ความงาม, สุขภาพและความงาม, การดูแลส่วนตัว, อุปกรณ์อาบน้ำและการแพทย์, การดูแลทารก, การดูแลมารดา, ประกันภัย, การเงิน, ดนตรี, กีฬา, การจับรางวัลและการแข่งขัน, อาหาร, เครื่องดื่ม, การรับประทานอาหาร, การเดินทาง, การขนส่ง\n, การธนาคาร , อิเล็กทรอนิกส์, บ้าน, ของใช้ในครัวเรือน, สิ่งทอ, โทรคมนาคม, ร้านขายของชำ, เครื่องใช้สำนักงานและธุรกิจ, เทคโนโลยี, เฟอร์นิเจอร์กลางแจ้งและอุปกรณ์เสริม, เฟอร์นิเจอร์, แสง, การตกแต่ง, อุปกรณ์เสริมภายในบ้าน, สื่อ, แพลตฟอร์มอีคอมเมิร์ซและผู้อำนวยความสะดวก และสิ่งพิมพ์; <li>วิเคราะห์ความชอบ พฤติกรรมออนไลน์ และประวัติการทำธุรกรรมของคุณเพื่อรับข้อมูลเชิงลึก เพื่อให้เราสามารถปรับแต่งเนื้อหาและประเภทของข่าว กิจกรรม การอัปเดต การแข่งขัน โปรโมชั่น ข้อเสนอ ผลิตภัณฑ์ บริการ และรางวัลที่เรานำเสนอให้คุณ ผ่านทางไซต์ของเรา แอปของเรา การสื่อสารการตลาดทางตรง สื่อสังคมออนไลน์ หรือวิธีการสื่อสารอื่นๆ และ</li><li>ร่วมกับกิจกรรมตามฤดูกาล การจับรางวัลและการแข่งขันหรือกิจกรรมส่งเสริมการขายอื่นๆ</li></ul><br>เราอาจส่งการสื่อสารทางการตลาดโดยตรงและคำเชิญการวิจัยตลาดทางอีเมลผ่าน บัญชีผู้ใช้การเป็นสมาชิกออนไลน์ของคุณหรือการแจ้งเตือนในแอปบนอุปกรณ์มือถือของคุณ เมื่อคุณเข้าถึงไซต์หรือแอป หรือผ่านโฆษณาแบนเนอร์ออนไลน์ โพสต์ โทรศัพท์หรือ SMS<br><br>ก่อนที่จะให้การสื่อสารทางการตลาดแก่คุณ เรา จะขอความยินยอมจากคุณเสมอ คุณสามารถเลือกได้ทุกเมื่อที่จะไม่รับการสื่อสารทางการตลาดโดยตรงจากเรา โปรดดูหัวข้อสิทธิของคุณด้านล่าง","Jika Anda memilih untuk menerima penawaran dan promosi dari kami, kami dapat menggunakan data pribadi Anda untuk:<br><ul><li>mengirimkan komunikasi pemasaran langsung kepada Anda sehubungan dengan berita, acara, pembaruan, penawaran, kontes, dan promosi terkini sehubungan dengan Dragon Rewards;</li><li>mengirimkan kepada Anda komunikasi pemasaran langsung sehubungan dengan berita, acara, pembaruan, kontes, promosi, penawaran, produk, layanan, dan Hadiah terkini yang ditawarkan oleh Mitra kami yang berkaitan dengan ritel, pakaian , aksesoris, kosmetik, kecantikan, kesehatan dan kebugaran, perawatan pribadi, perlengkapan mandi dan medis, perawatan bayi, perawatan kehamilan, asuransi, keuangan, musik, olahraga, undian dan kontes, makanan, minuman, makan, perjalanan, transportasi\n,perbankan , elektronik, rumah, rumah tangga, tekstil, telekomunikasi, bahan makanan, perlengkapan kantor dan bisnis, teknologi, furnitur dan aksesori luar ruangan, furnitur, penerangan, dekorasi, aksesori rumah, media, platform dan fasilitator e-commerce, dan publikasi;</li> <li>menganalisis preferensi, perilaku online, dan riwayat transaksi Anda untuk mendapatkan wawasan, sehingga kami dapat menyesuaikan konten dan jenis berita, acara, pembaruan, kontes, promosi, penawaran, produk, layanan, dan Hadiah yang kami persembahkan untuk Anda melalui Situs kami, Aplikasi kami, komunikasi pemasaran langsung kami, media sosial atau sarana komunikasi lainnya; dan</li><li>dalam hubungannya dengan acara musiman, undian berhadiah dan kontes atau aktivitas promosi lainnya.</li></ul><br>Kami dapat mengirimkan komunikasi pemasaran langsung dan undangan riset pasar kepada Anda melalui email, melalui akun pengguna Keanggotaan online Anda atau notifikasi dalam aplikasi di perangkat seluler Anda, saat Anda mengakses Situs atau Aplikasi, atau melalui iklan banner online, pos, telepon, atau SMS.<br><br>Sebelum memberi Anda komunikasi pemasaran langsung, kami akan selalu meminta persetujuan Anda. Anda dapat memilih kapan saja untuk tidak menerima komunikasi pemasaran langsung apa pun dari kami. Silakan lihat bagian Hak Anda di bawah.",
privacy_dragon_rewards_8,Marketing Materials with our Partners or Affiliates,,,,與我們的合作夥伴或附屬公司的營銷材料,与我们的合作伙伴或附属公司的营销材料,สื่อการตลาดกับคู่ค้าหรือบริษัทในเครือของเรา,Materi Pemasaran dengan Mitra atau Afiliasi kami,
privacy_dragon_rewards_8_des,No. We will not provide your personal data to our Partners or DTS/DTG for them to send you marketing materials.,,,,不會。我們不會向我們的合作夥伴或 DTS/DTG 提供您的個人數據，以便他們向您發送營銷材料。,不会。我们不会向我们的合作伙伴或 DTS/DTG 提供您的个人数据，以便他们向您发送营销材料。,ไม่ เราจะไม่ให้ข้อมูลส่วนตัวของคุณแก่พันธมิตรของเราหรือ DTS/DTG เพื่อให้พวกเขาส่งเอกสารทางการตลาดให้กับคุณ,Tidak. Kami tidak akan memberikan data pribadi Anda kepada Mitra kami atau DTS/DTG agar mereka dapat mengirimkan materi pemasaran kepada Anda.,
privacy_dragon_rewards_9,How do we keep your information secure?,,,,我們如何保證您的信息安全？,我们如何保证您的信息安全？,เราจะรักษาข้อมูลของคุณให้ปลอดภัยได้อย่างไร?,Bagaimana kami menjaga keamanan informasi Anda?,
privacy_dragon_rewards_9_des,"We take the confidentiality and security of your information seriously. We take all reasonable steps, including the implementation of technical and physical security measures, to ensure that all your personal data held by us is kept secure and safe from any loss or unauthorised disclosure, use and modification. All transactions under the terms and conditions of this Privacy Policy are based on the encryption of data exchanged between you and us on our secure Site and App.",,,,我們認真對待您信息的機密性和安全性。 我們採取一切合理措施，包括實施技術和物理安全措施，確保我們持有的您的所有個人數據安全，不會丟失或未經授權的披露、使用和修改。 本隱私政策條款和條件下的所有交易均基於您和我們在我們的安全網站和應用程序上交換的數據的加密。,我们认真对待您信息的机密性和安全性。我们采取一切合理措施，包括实施技术和物理安全措施，确保我们持有的您的所有个人数据安全，不会丢失或未经授权的披露、使用和修改。本隐私政策条款和条件下的所有交易均基于您和我们在我们的安全网站和应用程序上交换的数据的加密。,เราให้ความสำคัญกับการรักษาความลับและความปลอดภัยของข้อมูลของคุณอย่างจริงจัง เราใช้ขั้นตอนที่สมเหตุสมผลทั้งหมด รวมถึงการดำเนินการตามมาตรการรักษาความปลอดภัยทางเทคนิคและทางกายภาพ เพื่อให้แน่ใจว่าข้อมูลส่วนบุคคลทั้งหมดของคุณที่เราเก็บไว้นั้นปลอดภัยและปลอดภัยจากการสูญหายหรือการเปิดเผย การใช้ และการแก้ไขโดยไม่ได้รับอนุญาต ธุรกรรมทั้งหมดภายใต้ข้อกำหนดและเงื่อนไขของนโยบายความเป็นส่วนตัวนี้ขึ้นอยู่กับการเข้ารหัสของข้อมูลที่แลกเปลี่ยนระหว่างคุณกับเราบนเว็บไซต์และแอพที่ปลอดภัยของเรา,"Kami menjaga kerahasiaan dan keamanan informasi Anda dengan serius. Kami mengambil semua langkah yang wajar, termasuk penerapan langkah-langkah keamanan teknis dan fisik, untuk memastikan bahwa semua data pribadi Anda yang kami simpan tetap aman dan terlindungi dari kehilangan atau pengungkapan, penggunaan, dan modifikasi tanpa izin. Semua transaksi berdasarkan syarat dan ketentuan Kebijakan Privasi ini didasarkan pada enkripsi data yang dipertukarkan antara Anda dan kami di Situs dan Aplikasi kami yang aman.",
privacy_dragon_rewards_des,"We care about protecting and respecting your privacy. In order to serve you better and provide you with the best customer experience, we need to collect some personal data about you. This Privacy Policy will help you understand how we collect and use your personal data, who we share your personal data with, and how you can control the way your personal data is collected and used by us.\n\nDragon Rewards App (""DRA"") that enables users to redeem Dragon Points (""Points"") in return for services or vouchers (""Rewards"") from participating businesses (""Partners""). Dragon Rewards is owned and operated by Dragon Technology Global Pte Ltd (""DTG"", ""we"", ""us"", ""our""). Personal data we collect about you will be used in line with this Privacy Policy.",,,,"我們關心保護和尊重您的隱私。 為了更好地為您服務並為您提供最佳的客戶體驗，我們需要收集一些關於您的個人數據。 本隱私政策將幫助您了解我們如何收集和使用您的個人數據、我們與誰共享您的個人數據以及您如何控制我們收集和使用您的個人數據的方式。\n\nDragon Rewards App（""DRA"")，使用戶能夠兌換 Dragon Points（""積分""）以換取參與企業（""合作夥伴""）的服務或代金券（""禮劵""）。 Dragon Rewards 由 Dragon Technology Global Pte Ltd (""DTG""、""我們""、""我們""、""我們的""）擁有和運營。 我們收集的有關您的個人數據將根據本隱私政策使用。","我们关心保护和尊重您的隐私。为了更好地为您服务并为您提供最佳的客户体验，我们需要收集一些关于您的个人数据。本隐私政策将帮助您了解我们如何收集和使用您的个人数据、我们与谁共享您的个人数据以及您如何控制我们收集和使用您的个人数据的方式。 \n\nDragon Rewards App（""DRA"")，使用户能够兑换 Dragon Points（""积分""）以换取参与企业（""合作伙伴""）的服务或代金券（""礼劵""）。 Dragon Rewards 由 Dragon Technology Global Pte Ltd (""DTG""、""我们""、""我们""、""我们的""）拥有和运营。我们收集的有关您的个人数据将根据本隐私政策使用。","เราใส่ใจในการปกป้องและเคารพความเป็นส่วนตัวของคุณ เพื่อให้บริการคุณได้ดียิ่งขึ้นและมอบประสบการณ์ลูกค้าที่ดีที่สุด เราจำเป็นต้องรวบรวมข้อมูลส่วนบุคคลบางอย่างเกี่ยวกับคุณ นโยบายความเป็นส่วนตัวนี้จะช่วยให้คุณเข้าใจวิธีที่เรารวบรวมและใช้ข้อมูลส่วนบุคคลของคุณ ผู้ที่เราแบ่งปันข้อมูลส่วนบุคคลของคุณด้วย และวิธีที่คุณสามารถควบคุมวิธีการที่เรารวบรวมและใช้ข้อมูลส่วนบุคคลของคุณ\n\nแอป Dragon Rewards (""DRA "") ที่ช่วยให้ผู้ใช้สามารถแลกคะแนน Dragon Points (""คะแนน"") เพื่อแลกกับบริการหรือบัตรกำนัล (""รางวัล"") จากธุรกิจที่เข้าร่วม (""พันธมิตร"") Dragon Rewards เป็นเจ้าของและดำเนินการโดย Dragon Technology Global Pte Ltd (""DTG"", ""เรา"", ""เรา"", ""ของเรา"") ข้อมูลส่วนบุคคลที่เรารวบรวมเกี่ยวกับคุณจะถูกนำไปใช้โดยสอดคล้องกับนโยบายความเป็นส่วนตัวนี้","Kami peduli untuk melindungi dan menghormati privasi Anda. Untuk melayani Anda dengan lebih baik dan memberi Anda pengalaman pelanggan terbaik, kami perlu mengumpulkan beberapa data pribadi tentang Anda. Kebijakan Privasi ini akan membantu Anda memahami cara kami mengumpulkan dan menggunakan data pribadi Anda, dengan siapa kami membagikan data pribadi Anda, dan bagaimana Anda dapat mengontrol cara data pribadi Anda dikumpulkan dan digunakan oleh kami.\n\nAplikasi Dragon Rewards (""DRA "") yang memungkinkan pengguna menukarkan Poin Naga (""Poin"") sebagai imbalan atas layanan atau voucher (""Hadiah"") dari bisnis yang berpartisipasi (""Mitra""). Dragon Rewards dimiliki dan dioperasikan oleh Dragon Technology Global Pte Ltd (""DTG"", ""kami"", ""kita"", ""milik kami""). Data pribadi yang kami kumpulkan tentang Anda akan digunakan sesuai dengan Kebijakan Privasi ini.",
privacyIsImportantPleaseRead,Privacy concerns?,,,,隱私顧慮？,隐私顾虑？,ข้อกังวลเรื่องความเป็นส่วนตัว?,Masalah privasi?,
privacyPolicy,Privacy Policy,,,,隱私政策,隐私政策,นโยบายความเป็นส่วนตัว,Kebijakan pribadi,
proceed_to_payment,Proceed to Payment,,,,前往支付,前往支付,ดำเนินการชำระเงิน,Lanjutkan ke pembayaran,
productDetails,Product Details,,,,產品詳情,产品详情,รายละเอียดสินค้า,Rincian Produk,
products,Products,,,,禮劵產品,礼劵产品,ผลิตภัณฑ์,Produk,
profile,Profile,,,,個人質料,个人质料,โปรไฟล์,Profil,
pts_to_dollar,{} pts = $1,,,,{} 分 = $1,{} 分 = $1,{} คะแนน = $1,{} poin = $1,
pushNotifications,Push Notifications,,,,推送通知,推送通知,การแจ้งเตือน,Pemberitahuan Dorong,
quantity_summary,Quantity:,,,,數量：,数量：,ปริมาณ:,Kuantitas:,
readMore,More info.,,,,了解更多。,了解更多。,ข้อมูลเพิ่มเติม,Info lebih lanjut.,
recipient_email,Recipient Email:,,,,收件人電子郵件：,收件人电子邮件：,อีเมลผู้รับ:,Penerima e-mail:,
recipient_name,Recipient Name:,,,,收件人姓名：,收件人姓名：,ชื่อผู้รับ:,Nama penerima:,
redeem,Redeem,,,,兑换,兑换,แลกคะแนน,Menukarkan,
redeemTheFollowing,Proceed to redeem,,,,繼續兌換,继续兑换,ดำเนินการแลกคะแนนต่อ,Lanjutkan untuk menebus,
redeemUpTo,Exchange up to,,,,可即時兑换,可即时兑换,แลกคะแนนได้สูงสุด,Tukarkan hingga,
redemptionSuccessful,Exchange Successful!,,,,兌換成功!,兑换成功!,แลกคะแนนสำเร็จ!,Pertukaran Berhasil!,
redirect_payment_gateway_note_1,\nProceed to complete the transaction via,,,,\n請通過以下,\n请通过以下,\nดำเนินการธุรกรรมให้เสร็จสมบูรณ์ผ่าน,\nLanjutkan untuk menyelesaikan transaksi melalui,
redirect_payment_gateway_note_2,payment gateway.,,,,支付網關完成交易。,支付网关完成交易。,ช่องทางการชำระเงิน.,gerbang pembayaran.,
region,HK,,,,香港,香港,ฮ่องกง,hk,
registerAccount,Register Account,,,,登記新帳戶,登记新帐户,ลงทะเบียนบัญชี,Daftarkan Akun,
remain_balance,Remaining Balance:,,,,保持平衡：,保持平衡：,ยอดคงเหลือ:,Saldo yang tersisa:,
resend,Resend,,,,重新寄送,重新寄送,ส่งใหม่,Kirim ulang,
scanQRTitle,Scan QR Code,,,,掃描二維碼,扫描二维码,สแกนคิวอาร์โค้ด,Pindai kode QR,
searchHere,Search Here,,,,在此搜索,在此搜索,ค้นหาที่นี่,Cari di sini,
secs,secs,,,,秒後失效,秒后失效,วินาที,detik,
securityMsg1,"For your security, Dragon Rewards want to make sure it’s really you logging in. Therefore, we require your phone number for login verification.",,,,為了安全起見，Dragon Rewards 希望確定是您本人在登錄。所以將需要通過電話號碼驗證。,为了安全起见，Dragon Rewards 希望确定是您本人在登录。所以将需要通过电话号码验证。,"เพื่อความปลอดภัยของคุณ Dragon Rewards ต้องการให้แน่ใจว่าคุณเข้าสู่ระบบจริงๆ 
ดังนั้นเราจึงต้องการหมายเลขโทรศัพท์ของคุณสำหรับการตรวจสอบการเข้าสู่ระบบ","Demi keamanan Anda, Dragon Rewards ingin memastikan bahwa memang Anda yang login. Oleh karena itu, kami memerlukan nomor telepon Anda untuk verifikasi login.",
securityMsg2,"We will only use the given information for service-related communication, security, and verification purposes. Your info is safe and private.",,,,本公司只會將此信息用於同服務相關的通信、安全和驗證目的。您的個人信息不會對外公開，並且絕對安全。,本公司只会将此信息用于同服务相关的通信、安全和验证目的。您的个人信息不会对外公开，并且绝对安全。,เราจะใช้ข้อมูลที่ระบุเพื่อวัตถุประสงค์ในการสื่อสาร ความปลอดภัย และการตรวจสอบที่เกี่ยวข้องกับบริการเท่านั้น ข้อมูลของคุณจะปลอดภัยและเป็นส่วนตัว,"Kami hanya akan menggunakan informasi yang diberikan untuk tujuan komunikasi, keamanan, dan verifikasi terkait layanan. Info Anda aman dan pribadi.",
select_language,Select Language,,,,選擇語言,选择语言,เลือกภาษา,Pilih bahasa,
selectQtyForRedemption,Please specify quantity.,,,,請選擇兌換物品數量,请选择兑换物品数量,โปรดระบุจำนวน,Silakan tentukan kuantitas.,
sender_email,Sender Email:,,,,發件人電子郵件：,发件人电子邮件：,อีเมลผู้ส่ง:,Email Pengirim:,
sender_name,Sender Name:,,,,發件者姓名：,发件者姓名：,ชื่อผู้ส่ง:,Nama pengirim:,
sending_receipt_to,Sending Receipt to:,,,,將收據發送至：,将收据发送至：,ส่งใบเสร็จไปที่:,Mengirimkan Resi ke:,
serviceAgreement,Service Agreement,,,,服務協議,服务协议,ข้อตกลงการบริการ,Perjanjian Layanan,
settings,Settings,,,,設置,设置,ตั้งค่า,Pengaturan,
showDirections,Show Directions,,,,顯示方向,显示方向,แสดงเส้นทาง,Tunjukkan Arah,
showOnMap,Show On Map,,,,地圖顯示,地图显示,แสดงตำแหน่งบนแผนที่,Tunjukkan Di Peta,
sign_in_via_web,Sign in via Web,,,,網上登錄,网上登录,ลงชื่อเข้าใช้ผ่านเว็บ,Masuk melalui Web,
signIn,Sign In,,,,登入,登入,ลงชื่อเข้าใช้,Masuk,
signInWithApple,Apple Sign-in,,,,用Apple登入,用Apple登入,ลงชื่อเข้าใช้ Apple ID,Masuk Apple,
signInWithEmail,Email Sign-in,,,,用電郵登入,用电邮登入,ลงชื่อเข้าใช้ด้วยอีเมล,Masuk Email,
signInWithFB,Facebook Sign-in,,,,用 Facebook 登入,用 Facebook 登入,ลงชื่อเข้าใช้ด้วย Facebook,Masuk Facebook,
signInWithGoogle,Google Sign-in,,,,用Google登入,用Google登入,ลงชื่อเข้าใช้ด้วย Google,Masuk dengan Google,
signInWithPhone,Mobile Sign-in,,,,用手機登入,用手机登入,ลงชื่อเข้าใช้ด้วยเบอร์มือถือ,Masuk Seluler,
signUp,Sign Up,,,,登記帳號,登记帐号,สมัคร,Mendaftar,
singapore,Singapore,,,,新加坡,新加坡,สิงคโปร์,Singapura,
skip,Skip,,,,略過,略过,ข้าม,Melewati,
sorry,Sorry!,,,,抱歉！,抱歉！,ขอโทษ!,Maaf!,
sortBy,Sort By,,,,按排序,按排序,จัดเรียงตาม,Sortir dengan,
status_kiosk_under_maintenance,Kiosk Under Maintenance,,,,服務站正在維修中,服务站正在维修中,ตู้ฝากเหรียญอยู่ระหว่างการบำรุงรักษา,Kios Sedang Dalam Pemeliharaan,
sub_desc_about_us,Powered by a network of smart kiosks to get more value from your,,,,透過全智能神沙機(服務站)為您的散銀提供更多價值,透过全智能服务站为您的散银提供更多价值,เครือข่ายตู้อัจฉริยะเพื่ออำนวยความสะดวกให้กับคุณ,Didukung oleh jaringan kios pintar untuk mendapatkan nilai lebih dari Anda,
sub_desc_about_us_mobile,Powered by a network of smart kiosks\nto get more value from your,,,,透過全智能神沙機(服務站)\n為您的散銀提供更多價值,透过全智能服务站\n为您的散银提供更多价值,เครือข่ายตู้อัจฉริยะ\nเพื่ออำนวยความสะดวกให้กับคุณ,Didukung oleh jaringan kios pintar\nuntuk mendapatkan nilai lebih dari Anda,
sub_desc_pocket,pocket change - instantly,,,,快捷又方便,快捷又方便,แสดงยอดแต้มในบัญชีแบบเรียลไทม์,uang receh - secara instan,
sub_title_dragon_rewards_account,Dragon Rewards Account,,,,Dragon Rewards賬戶,Dragon Rewards账户,บัญชี Dragon Rewards,Akun Hadiah Naga,
suffix_kiosk_only,Kiosk Only,,,,僅售服務站,仅售服务站,ฝากที่ตู้เท่านั้น,Hanya Kios,
termsAndConditions,Terms and Conditions,,,,條款和條件,条款和条件,ข้อกำหนดและเงื่อนไข,syarat dan Ketentuan,
thailand,Thailand,,,,泰國,泰国,ประเทศไทย,Thailand,
thankYou,Thank you,,,,謝謝你,谢谢你,ขอบคุณ,Terima kasih,
theListOfMerchantPartners,from diverse partner merchants,,,,於️以下合作商戶電子禮劵,于️以下合作商户电子礼劵,จากร้านค้าพันธมิตรที่หลากหลาย,dari beragam pedagang mitra,
title_archived,Archived / Expired Vouchers,,,,存檔/過期禮劵,存档/过期礼劵,จัดเก็บ(Archive)บัตรกำนัล / หมดอายุ,Voucher Diarsipkan / Kedaluwarsa,
title_bill_payment_summary,Bill Payment Summary,,,,賬單支付摘要,账单支付摘要,สรุปการจ่ายบิล,Ringkasan Pembayaran Tagihan,
title_cancel_edit,Cancel Editing?,,,,取消編輯？,取消编辑？,ยกเลิกการแก้ไข?,Batalkan Pengeditan?,
title_card_detail,Card Details:,,,,卡片詳情：,卡片详情：,รายละเอียดบัตร:,Detail kartu:,
title_donation_summary,Donation Summary,,,,捐款摘要,捐款摘要,สรุปการบริจาค,Ringkasan Donasi,
title_faqs,Frequently Asked Questions,,,,常問問題,常问问题,คำถามที่พบบ่อย,Pertanyaan yang Sering Diajukan,
title_kiosk_term_of_use_1,Ownership; Agreement to Terms of Use,,,,所有權; 同意使用條款,所有权; 同意使用条款,ความเป็นเจ้าของ; ข้อตกลงในข้อกำหนดการใช้งาน,Kepemilikan; Persetujuan terhadap Ketentuan Penggunaan,
title_kiosk_term_of_use_2,Use of Website,,,,網站使用,网站使用,การใช้เว็บไซต์,Penggunaan Situs Web,
title_kiosk_term_of_use_3,No Warranty,,,,沒有保修,没有保修,ไม่มีการรับประกัน,Tidak ada garansi,
title_kiosk_term_of_use_4,Link to Third Party Sites,,,,鏈接到第三方網站,链接到第三方网站,เชื่อมโยงไปยังไซต์ภายนอก,Tautan ke Situs Pihak Ketiga,
title_kiosk_term_of_use_5,Email and Internet Downloads,,,,電子郵件和互聯網下載,电子邮件和互联网下载,Email and Internet Downloads,Unduhan Email dan Internet,
